Year,India,China,United States
2000,23.36,14.67,2.1
2001,26.51,14.11,2.11
2002,23.08,7.72,2.16
2003,21.45,6.48,1.96
2004,22.96,5.96,1.79
2005,13.9,4.87,1.75
2006,8.99,4.25,1.7
2007,11.99,5.07,1.55
2008,5.98,4.47,1.58
2009,6.84,3.94,1.71
2010,6.1,4.65,1.66
2011,7.33,5.99,1.67
2012,6.32,5.57,1.67
2013,6.34,5.16,1.67
2014,6.83,4.74,1.69
2015,7.32,4.52,1.69
2016,6.35,3.54,1.65
2017,5.78,3.83,1.66
2018,4.88,3.39,1.59
2019,6.59,2.53,13.78
2020,6.19,2.47,1.52
2021,5.87,2.31,1.47
2022,4.59,2.18,1.49
2023,4.59,2.18,1.49
