Year,India,China,United States
2000,8.81,8.45,12.97
2001,8.08,8.45,11.86
2002,8.68,8.45,9.87
2003,9.11,8.45,9.39
2004,9.57,8.45,9.54
2005,10.08,8.45,10.68
2006,11.13,8.93,11.31
2007,12.11,9.63,11.29
2008,10.98,9.94,10.28
2009,9.81,10.13,7.9
2010,10.39,10.04,8.56
2011,10.18,10.15,9.54
2012,10.84,10.09,9.76
2013,11.0,9.73,10.48
2014,9.98,9.5,10.94
2015,10.57,9.19,11.24
2016,11.15,8.95,10.92
2017,11.39,9.25,11.58
2018,12.02,8.89,9.99
2019,10.7,8.33,9.96
2020,9.38,7.92,10.29
2021,8.06,7.8,11.57
2022,6.73,7.52,12.8
2023,6.73,7.64,10.81
