Year,India,China,United States
2000,26.9,39.01,25.1
2001,25.99,38.08,22.97
2002,29.51,42.19,22.29
2003,30.59,51.08,22.63
2004,37.5,58.64,24.45
2005,42.0,61.36,25.64
2006,45.72,63.57,26.98
2007,45.69,61.27,28.01
2008,53.37,56.71,29.87
2009,46.27,44.42,24.76
2010,49.26,49.85,28.22
2011,55.62,49.95,30.84
2012,55.79,47.48,30.68
2013,53.84,45.92,30.01
2014,48.92,44.07,30.0
2015,41.92,38.7,27.82
2016,40.08,36.18,26.61
2017,40.74,36.95,27.31
2018,43.62,36.89,27.61
2019,39.91,35.2,26.45
2020,37.76,34.04,23.4
2021,45.42,36.52,25.61
2022,50.08,37.44,27.31
2023,44.99,36.11,25.29
